Name,Extension,Size (Kb),Path
description,-- None --,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Entornos\BitBucket\repositorios\practica2-juan-gracia-lahoz\.git\description
description,-- None --,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Entornos\Workspace - Entornos\.git\description
Actividades de repaso tema 2,.docx,18,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\FOL\actividades repaso\Actividades de repaso tema 2.docx
Actividades de repaso tema 3,.docx,21,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\FOL\actividades repaso\Actividades de repaso tema 3.docx
Actividades de repaso tema 4,.docx,18,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\FOL\actividades repaso\Actividades de repaso tema 4.docx
despertar,.html,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Marcas\Páginas\Cuadros\images\Agrandadas\despertar.html
despertar,.jpg,285,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Marcas\Páginas\Cuadros\images\Eva\despertar.jpg
appetitefordestruction,.jpg,59,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Marcas\Páginas\Página tocha\images\discos\g\gunsandroses\appetitefordestruction.jpg
hermanosdesangre,.jpg,190,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Marcas\Páginas\Página tocha\images\discos\l\loquillo\hermanosdesangre.jpg
_bootstrap-overrides,.scss,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Marcas\startbootstrap-business-casual-gh-pages\scss\_bootstrap-overrides.scss
description,-- None --,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Programación\Eclipse Workspace\.git\description
Velocidad_desplazamiento_tiempo,.launch,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Programación\Eclipse Workspace\.metadata\.plugins\org.eclipse.debug.core\.launches\Velocidad_desplazamiento_tiempo.launch
Suma_descendente,.class,1,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Programación\Eclipse Workspace\acepta_el_reto\bin\aer_265\Suma_descendente.class
Velocidad_desplazamiento_tiempo,.class,2,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Programación\Eclipse Workspace\acepta_el_reto\bin\aer_439\Velocidad_desplazamiento_tiempo.class
Velocidad_desplazamiento_tiempo,.properties,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Programación\Eclipse Workspace\acepta_el_reto\nbproject\configs\Velocidad_desplazamiento_tiempo.properties
Suma_descendente,.java,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Programación\Eclipse Workspace\acepta_el_reto\src\aer_265\Suma_descendente.java
Velocidad_desplazamiento_tiempo,.java,2,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Programación\Eclipse Workspace\acepta_el_reto\src\aer_439\Velocidad_desplazamiento_tiempo.java
description,-- None --,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Programación\Eclipse Workspace\ManipulacionBBDD\.git\description
Tema 03 Redes de comunicaciones Parte I,.pdf,942,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Sistemas informaticos\Temas\Tema 4\Tema 03 Redes de comunicaciones Parte I.pdf
Tema 03 Redes de comunicaciones Parte II,.pdf,739,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Sistemas informaticos\Temas\Tema 4\Tema 03 Redes de comunicaciones Parte II.pdf
Tema 03 Redes de comunicaciones Parte III,.pdf,657,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Sistemas informaticos\Temas\Tema 4\Tema 03 Redes de comunicaciones Parte III.pdf
Tema 03 Redes de comunicaciones Parte IV,.pdf,1191,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Sistemas informaticos\Temas\Tema 4\Tema 03 Redes de comunicaciones Parte IV.pdf
Tema 03 Redes de comunicaciones Parte V,.pdf,620,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Sistemas informaticos\Temas\Tema 4\Tema 03 Redes de comunicaciones Parte V.pdf
Manejador de registro y utilidades de mantenimiento,.pptx,1143,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Sistemas informaticos\Trabajos\Entregados\Primera evaluación\Manejador de registro y utilidades de mantenimiento.pptx
Practica 3.1 - Redes - Juan Gracia,.pdf,453,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Sistemas informaticos\Trabajos\Entregados\Segunda evaluacion\Practica 3.1 - Redes - Juan Gracia.pdf
Actividades complementarias,.pdf,45,D:\Users\Juanito\OneDrive\Documentos\CLASE 2018\Tutoría\Actividades complementarias.pdf
SyrCOMEdessa,.otf,77,D:\Users\Juanito\OneDrive\Documentos\CLASE 2019\Desarrollo Web Entorno Servidor\Ejercicios\Tema 2.2\HolaMundoPDF\fpdf\ttfonts\SyrCOMEdessa.otf
SyrCOMEdessa_license,.txt,2,D:\Users\Juanito\OneDrive\Documentos\CLASE 2019\Desarrollo Web Entorno Servidor\Ejercicios\Tema 2.2\HolaMundoPDF\fpdf\ttfonts\SyrCOMEdessa_license.txt
SyrCOMEdessa,.otf,77,D:\Users\Juanito\OneDrive\Documentos\CLASE 2019\Desarrollo Web Entorno Servidor\Ejercicios\Tema 2.2\PdfPhp\mpdf\ttfonts\SyrCOMEdessa.otf
SyrCOMEdessa_license,.txt,2,D:\Users\Juanito\OneDrive\Documentos\CLASE 2019\Desarrollo Web Entorno Servidor\Ejercicios\Tema 2.2\PdfPhp\mpdf\ttfonts\SyrCOMEdessa_license.txt
Licencia de actividades e instalaciones,.pdf,2700,D:\Users\Juanito\OneDrive\Documentos\CLASE 2019\Empresa e Iniciativa Empresarial\planes de empresa\plan de empresa 5\documentos\Trámites locales\Licencia de actividades e instalaciones.pdf
description,-- None --,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2019\TFG\Fittivity\Fittivity\Fittivity\fittivity\.git\description
desbloquearUsuario,.php,0,D:\Users\Juanito\OneDrive\Documentos\CLASE 2019\TFG\Fittivity\Fittivity\Fittivity\fittivity\conexiones\modDatos\desbloquearUsuario.php
descarga,.PNG,5,D:\Users\Juanito\OneDrive\Documentos\CLASE 2019\xampp\phpStorm\Pagina\img\descarga.PNG
irlandes,.png,536,D:\Users\Juanito\OneDrive\Documentos\CLASE 2019\xampp\webStorm\Practica temas 1 2 y 3\img\cafes\irlandes.png
desktop,.ini,0,D:\Users\Juanito\OneDrive\Documentos\desktop.ini
description,-- None --,0,D:\Users\Juanito\OneDrive\Documentos\exercise_frontend\.git\description
